x,y,z,ax,ay,az,id
5.473108291625980,-79.53975677490230,3.584758996963500,5.149359703063970,-79.3399658203125,3.4345040321350100,0
5.107663631439210,-79.3993148803711,3.5033469200134300,4.802011966705320,-79.17672729492190,3.347024440765380,1
4.754541873931890,-79.2347183227539,3.4132349491119400,4.468563556671140,-78.98912048339840,3.254101037979130,2
4.415441036224370,-79.04600524902340,3.316879987716680,4.150609493255620,-78.77750396728520,3.1579785346984900,3
4.0919575691223100,-78.83335876464840,3.2166311740875200,3.84979510307312,-78.54249572753910,3.0610079765319800,4
3.7857537269592300,-78.59719848632810,3.114927053451540,3.567456007003780,-78.28504180908200,2.9652278423309300,5
3.498218059539800,-78.33831787109380,3.013889789581300,3.3046979904174800,-78.00648498535160,2.872591018676760,6
3.2305424213409400,-78.0580062866211,2.915579080581670,3.0621564388275100,-77.70856475830080,2.784712314605710,7
2.983464002609250,-77.7579345703125,2.821727991104130,2.8398921489715600,-77.39329528808590,2.70284104347229,8
2.757154941558840,-77.44020080566410,2.733736753463750,2.6373038291931200,-77.06302642822270,2.627864360809330,9
2.5511019229888900,-77.10723114013670,2.652661085128780,2.4531779289245600,-76.72001647949220,2.5601518154144300,10
2.3641512393951400,-76.7614517211914,2.5790584087371800,2.285524368286130,-76.36670684814450,2.4995906352996800,11
2.1943247318267800,-76.40546417236330,2.513028383255010,2.131993055343630,-76.00518035888670,2.445615768432620,12
2.0392348766326900,-76.04153442382810,2.4542174339294400,1.9896007776260400,-75.63749694824220,2.3971943855285600,13
1.8958194255828900,-75.6718978881836,2.401829242706300,1.8553348779678300,-75.26528930664060,2.3531289100647000,14
1.7609611749649000,-75.29830932617190,2.3548879623413100,1.7257356643676800,-74.89022064208980,2.3120996952056900,15
1.6310678720474200,-74.92243957519530,2.312312602996830,1.6003758907318100,-74.51464080810550,2.2735440731048600,16
1.5050517320632900,-74.54486083984380,2.2733447551727300,1.487048625946050,-74.1353759765625,2.237898111343380,17
1.391002893447880,-74.16321563720700,2.2374770641326900,1.3774982690811200,-73.7525634765625,2.2030298709869400,18
1.2813838720321700,-73.78015899658200,2.2025880813598600,1.2676774263382000,-73.36956024169920,2.1680946350097700,19
1.171562671661380,-73.39715576171880,2.1676530838012700,1.1578598022460900,-72.98656463623050,2.13316011428833,20
1.0617448091507000,-73.01416778564450,2.132718324661260,1.0480451583862300,-72.60356903076170,2.0982255935668900,21
0.9519299864768980,-72.63116455078130,2.0977835655212400,0.9382334351539610,-72.22056579589840,2.063288927078250,22
0.8421182632446290,-72.2481689453125,2.0628464221954300,0.8284297585487370,-71.83758544921880,2.028379440307620,23
